CODE,Address Code
100704,กรุงเทพมหานคร|ปทุมวัน|ลุมพินี
100801,กรุงเทพมหานคร|ป้อมปราบศัตรูพ่าย|ป้อมปราบ
100802,กรุงเทพมหานคร|ป้อมปราบศัตรูพ่าย|วัดเทพศิรินทร์
100803,กรุงเทพมหานคร|ป้อมปราบศัตรูพ่าย|คลองมหานาค
100804,กรุงเทพมหานคร|ป้อมปราบศัตรูพ่าย|บ้านบาตร
100805,กรุงเทพมหานคร|ป้อมปราบศัตรูพ่าย|วัดโสมนัส
100905,กรุงเทพมหานคร|พระโขนง|บางจาก
101001,กรุงเทพมหานคร|มีนบุรี|มีนบุรี
101002,กรุงเทพมหานคร|มีนบุรี|แสนแสบ
101101,กรุงเทพมหานคร|ลาดกระบัง|ลาดกระบัง
101102,กรุงเทพมหานคร|ลาดกระบัง|คลองสองต้นนุ่น
101103,กรุงเทพมหานคร|ลาดกระบัง|คลองสามประเวศ
101104,กรุงเทพมหานคร|ลาดกระบัง|ลำปลาทิว
101105,กรุงเทพมหานคร|ลาดกระบัง|ทับยาว
101106,กรุงเทพมหานคร|ลาดกระบัง|ขุมทอง
101203,กรุงเทพมหานคร|ยานนาวา|ช่องนนทรี
101204,กรุงเทพมหานคร|ยานนาวา|บางโพงพาง
101301,กรุงเทพมหานคร|สัมพันธวงศ์|จักรวรรดิ
101302,กรุงเทพมหานคร|สัมพันธวงศ์|สัมพันธวงศ์
101303,กรุงเทพมหานคร|สัมพันธวงศ์|ตลาดน้อย
101401,กรุงเทพมหานคร|พญาไท|สามเสนใน
101501,กรุงเทพมหานคร|ธนบุรี|วัดกัลยาณ์
101502,กรุงเทพมหานคร|ธนบุรี|หิรัญรูจี
101503,กรุงเทพมหานคร|ธนบุรี|บางยี่เรือ
101504,กรุงเทพมหานคร|ธนบุรี|บุคคโล
101505,กรุงเทพมหานคร|ธนบุรี|ตลาดพลู
101506,กรุงเทพมหานคร|ธนบุรี|ดาวคะนอง
101507,กรุงเทพมหานคร|ธนบุรี|สำเหร่
101601,กรุงเทพมหานคร|บางกอกใหญ่|วัดอรุณ
101602,กรุงเทพมหานคร|บางกอกใหญ่|วัดท่าพระ
101701,กรุงเทพมหานคร|ห้วยขวาง|ห้วยขวาง
101702,กรุงเทพมหานคร|ห้วยขวาง|บางกะปิ
101704,กรุงเทพมหานคร|ห้วยขวาง|สามเสนนอก
101801,กรุงเทพมหานคร|คลองสาน|สมเด็จเจ้าพระยา
101802,กรุงเทพมหานคร|คลองสาน|คลองสาน
101803,กรุงเทพมหานคร|คลองสาน|บางลำภูล่าง
101804,กรุงเทพมหานคร|คลองสาน|คลองต้นไทร
101901,กรุงเทพมหานคร|ตลิ่งชัน|คลองชักพระ
101902,กรุงเทพมหานคร|ตลิ่งชัน|ตลิ่งชัน
101903,กรุงเทพมหานคร|ตลิ่งชัน|ฉิมพลี
101904,กรุงเทพมหานคร|ตลิ่งชัน|บางพรม
101905,กรุงเทพมหานคร|ตลิ่งชัน|บางระมาด
101907,กรุงเทพมหานคร|ตลิ่งชัน|บางเชือกหนัง
102004,กรุงเทพมหานคร|บางกอกน้อย|ศิริราช
102005,กรุงเทพมหานคร|บางกอกน้อย|บ้านช่างหล่อ
102006,กรุงเทพมหานคร|บางกอกน้อย|บางขุนนนท์
102007,กรุงเทพมหานคร|บางกอกน้อย|บางขุนศรี
102009,กรุงเทพมหานคร|บางกอกน้อย|อรุณอมรินทร์
102105,กรุงเทพมหานคร|บางขุนเทียน|ท่าข้าม
102107,กรุงเทพมหานคร|บางขุนเทียน|แสมดำ
102201,กรุงเทพมหานคร|ภาษีเจริญ|บางหว้า
102202,กรุงเทพมหานคร|ภาษีเจริญ|บางด้วน
102206,กรุงเทพมหานคร|ภาษีเจริญ|บางจาก
102207,กรุงเทพมหานคร|ภาษีเจริญ|บางแวก
102208,กรุงเทพมหานคร|ภาษีเจริญ|คลองขวาง
102209,กรุงเทพมหานคร|ภาษีเจริญ|ปากคลองภาษีเจริญ
102210,กรุงเทพมหานคร|ภาษีเจริญ|คูหาสวรรค์
102302,กรุงเทพมหานคร|หนองแขม|หนองแขม
102303,กรุงเทพมหานคร|หนองแขม|หนองค้างพลู
102401,กรุงเทพมหานคร|ราษฎร์บูรณะ|ราษฎร์บูรณะ
102402,กรุงเทพมหานคร|ราษฎร์บูรณะ|บางปะกอก
102501,กรุงเทพมหานคร|บางพลัด|บางพลัด
102502,กรุงเทพมหานคร|บางพลัด|บางอ้อ
102503,กรุงเทพมหานคร|บางพลัด|บางบำหรุ
102504,กรุงเทพมหานคร|บางพลัด|บางยี่ขัน
102601,กรุงเทพมหานคร|ดินแดง|ดินแดง
102701,กรุงเทพมหานคร|บึงกุ่ม|คลองกุ่ม
102704,กรุงเทพมหานคร|บึงกุ่ม|นวมินทร์
102705,กรุงเทพมหานคร|บึงกุ่ม|นวลจันทร์
102801,กรุงเทพมหานคร|สาทร|ทุ่งวัดดอน
102802,กรุงเทพมหานคร|สาทร|ยานนาวา
102803,กรุงเทพมหานคร|สาทร|ทุ่งมหาเมฆ
102901,กรุงเทพมหานคร|บางซื่อ|บางซื่อ
102902,กรุงเทพมหานคร|บางซื่อ|วงศ์สว่าง
103001,กรุงเทพมหานคร|จตุจักร|ลาดยาว
103002,กรุงเทพมหานคร|จตุจักร|เสนานิคม
103003,กรุงเทพมหานคร|จตุจักร|จันทรเกษม
103004,กรุงเทพมหานคร|จตุจักร|จอมพล
103005,กรุงเทพมหานคร|จตุจักร|จตุจักร
103101,กรุงเทพมหานคร|บางคอแหลม|บางคอแหลม
103102,กรุงเทพมหานคร|บางคอแหลม|วัดพระยาไกร
103103,กรุงเทพมหานคร|บางคอแหลม|บางโคล่
103201,กรุงเทพมหานคร|ประเวศ|ประเวศ
103202,กรุงเทพมหานคร|ประเวศ|หนองบอน
103203,กรุงเทพมหานคร|ประเวศ|ดอกไม้
103301,กรุงเทพมหานคร|คลองเตย|คลองเตย
103302,กรุงเทพมหานคร|คลองเตย|คลองตัน
103303,กรุงเทพมหานคร|คลองเตย|พระโขนง
103401,กรุงเทพมหานคร|สวนหลวง|สวนหลวง
103501,กรุงเทพมหานคร|จอมทอง|บางขุนเทียน
103502,กรุงเทพมหานคร|จอมทอง|บางค้อ
103503,กรุงเทพมหานคร|จอมทอง|บางมด
103504,กรุงเทพมหานคร|จอมทอง|จอมทอง
103602,กรุงเทพมหานคร|ดอนเมือง|สีกัน
103604,กรุงเทพมหานคร|ดอนเมือง|ดอนเมือง
103605,กรุงเทพมหานคร|ดอนเมือง|สนามบิน
103701,กรุงเทพมหานคร|ราชเทวี|ทุ่งพญาไท
103702,กรุงเทพมหานคร|ราชเทวี|ถนนพญาไท
103703,กรุงเทพมหานคร|ราชเทวี|ถนนเพชรบุรี
103704,กรุงเทพมหานคร|ราชเทวี|มักกะสัน
103801,กรุงเทพมหานคร|ลาดพร้าว|ลาดพร้าว
103802,กรุงเทพมหานคร|ลาดพร้าว|จรเข้บัว
103901,กรุงเทพมหานคร|วัฒนา|คลองเตยเหนือ
103902,กรุงเทพมหานคร|วัฒนา|คลองตันเหนือ
103903,กรุงเทพมหานคร|วัฒนา|พระโขนงเหนือ
104001,กรุงเทพมหานคร|บางแค|บางแค
104002,กรุงเทพมหานคร|บางแค|บางแคเหนือ
104003,กรุงเทพมหานคร|บางแค|บางไผ่
104004,กรุงเทพมหานคร|บางแค|หลักสอง
104101,กรุงเทพมหานคร|หลักสี่|ทุ่งสองห้อง
104102,กรุงเทพมหานคร|หลักสี่|ตลาดบางเขน
104201,กรุงเทพมหานคร|สายไหม|สายไหม
104202,กรุงเทพมหานคร|สายไหม|ออเงิน
104203,กรุงเทพมหานคร|สายไหม|คลองถนน
104301,กรุงเทพมหานคร|คันนายาว|คันนายาว
104302,กรุงเทพมหานคร|คันนายาว|รามอินทรา
104401,กรุงเทพมหานคร|สะพานสูง|สะพานสูง
104501,กรุงเทพมหานคร|วังทองหลาง|วังทองหลาง
104502,กรุงเทพมหานคร|วังทองหลาง|สะพานสอง
104503,กรุงเทพมหานคร|วังทองหลาง|คลองเจ้าคุณสิงห์
104504,กรุงเทพมหานคร|วังทองหลาง|พลับพลา
104601,กรุงเทพมหานคร|คลองสามวา|สามวาตะวันตก
104602,กรุงเทพมหานคร|คลองสามวา|สามวาตะวันออก
104603,กรุงเทพมหานคร|คลองสามวา|บางชัน
104604,กรุงเทพมหานคร|คลองสามวา|ทรายกองดิน
104605,กรุงเทพมหานคร|คลองสามวา|ทรายกองดินใต้
104701,กรุงเทพมหานคร|บางนา|บางนา
104801,กรุงเทพมหานคร|ทวีวัฒนา|ทวีวัฒนา
104802,กรุงเทพมหานคร|ทวีวัฒนา|ศาลาธรรมสพน์
104901,กรุงเทพมหานคร|ทุ่งครุ|บางมด
104902,กรุงเทพมหานคร|ทุ่งครุ|ทุ่งครุ
105001,กรุงเทพมหานคร|บางบอน|บางบอน
110101,สมุทรปราการ|เมืองสมุทรปราการ|ปากน้ำ
110102,สมุทรปราการ|เมืองสมุทรปราการ|สำโรงเหนือ
110103,สมุทรปราการ|เมืองสมุทรปราการ|บางเมือง
110104,สมุทรปราการ|เมืองสมุทรปราการ|ท้ายบ้าน
110108,สมุทรปราการ|เมืองสมุทรปราการ|บางปูใหม่
110110,สมุทรปราการ|เมืองสมุทรปราการ|แพรกษา
110111,สมุทรปราการ|เมืองสมุทรปราการ|บางโปรง
110112,สมุทรปราการ|เมืองสมุทรปราการ|บางปู
110113,สมุทรปราการ|เมืองสมุทรปราการ|บางด้วน
110114,สมุทรปราการ|เมืองสมุทรปราการ|บางเมืองใหม่
110115,สมุทรปราการ|เมืองสมุทรปราการ|เทพารักษ์
110116,สมุทรปราการ|เมืองสมุทรปราการ|ท้ายบ้านใหม่
110117,สมุทรปราการ|เมืองสมุทรปราการ|แพรกษาใหม่
110201,สมุทรปราการ|บางบ่อ|บางบ่อ
110202,สมุทรปราการ|บางบ่อ|บ้านระกาศ
110203,สมุทรปราการ|บางบ่อ|บางพลีน้อย
110204,สมุทรปราการ|บางบ่อ|บางเพรียง
110205,สมุทรปราการ|บางบ่อ|คลองด่าน
110206,สมุทรปราการ|บางบ่อ|คลองสวน
110207,สมุทรปราการ|บางบ่อ|เปร็ง
110208,สมุทรปราการ|บางบ่อ|คลองนิยมยาตรา
110301,สมุทรปราการ|บางพลี|บางพลีใหญ่
110302,สมุทรปราการ|บางพลี|บางแก้ว
110303,สมุทรปราการ|บางพลี|บางปลา
110304,สมุทรปราการ|บางพลี|บางโฉลง
110308,สมุทรปราการ|บางพลี|ราชาเทวะ
110309,สมุทรปราการ|บางพลี|หนองปรือ
110401,สมุทรปราการ|พระประแดง|ตลาด
110402,สมุทรปราการ|พระประแดง|บางพึ่ง
110403,สมุทรปราการ|พระประแดง|บางจาก
110404,สมุทรปราการ|พระประแดง|บางครุ
110405,สมุทรปราการ|พระประแดง|บางหญ้าแพรก
110406,สมุทรปราการ|พระประแดง|บางหัวเสือ
110407,สมุทรปราการ|พระประแดง|สำโรงใต้
110408,สมุทรปราการ|พระประแดง|บางยอ
110409,สมุทรปราการ|พระประแดง|บางกะเจ้า
110410,สมุทรปราการ|พระประแดง|บางน้ำผึ้ง
110411,สมุทรปราการ|พระประแดง|บางกระสอบ
110412,สมุทรปราการ|พระประแดง|บางกอบัว
110413,สมุทรปราการ|พระประแดง|ทรงคนอง
110414,สมุทรปราการ|พระประแดง|สำโรง
110415,สมุทรปราการ|พระประแดง|สำโรงกลาง
110501,สมุทรปราการ|พระสมุทรเจดีย์|นาเกลือ
110502,สมุทรปราการ|พระสมุทรเจดีย์|บ้านคลองสวน
110503,สมุทรปราการ|พระสมุทรเจดีย์|แหลมฟ้าผ่า
110504,สมุทรปราการ|พระสมุทรเจดีย์|ปากคลองบางปลากด
